id,name
f74e2c45-a3cd-4a3b-84aa-c9a72b1b6c52,Chad
66dc9a89-4bfb-4fb0-9ec6-8076e771d186,Denmark
6e8a94ba-4cd9-448d-9cd8-3f08acf129c7,Armenia
29b7f2f6-c0e6-4a3b-8e36-cda7ba8a53c1,Mauritania
c78a1151-8a87-47ea-8d72-9c2b04bbbb9f,Kyrgyzstan
58397345-b9fc-4208-a71d-b2d6db885354,Turkmenistan
f16245fb-aac8-42f1-932c-ce4977f510ff,Niger
c91378a2-5043-4e08-9265-ae1dd9b5ee06,Nicaragua
c5ba8a84-4d55-4d85-9fc4-2bce43fbe542,Liberia
817aa995-86f4-4d8b-a345-dfe8db0932de,Haiti
3570ca7f-3c61-42b1-a3de-b8b5b159515d,Nepal
5252cebf-5e90-4409-95a0-8eab35b1e1cb,Sweden
eb176c7f-c9c3-49d3-bb21-7e02f378c42c,Eritrea
7b551d03-ef60-421e-b69f-5f033de1fb56,Sierra Leone
774013b8-38c9-4837-83b2-80f3938c303b,Israel
3d39cd51-8be4-435e-a69e-4e48a613d1da,Panama
baac06ac-1030-4b9e-84d2-7dd680425b3f,Togo
426099e1-1b17-4dd0-9be5-c94b092b7633,Gabon
4be8951b-1c0f-408b-9f34-8b2ce0aceebe,Croatia
a8fdec9e-31eb-4922-b258-1c98bb0dd855,Tajikistan
e3e076f8-724a-4bf6-8c5a-fcea18061244,Benin
f310af63-9c1f-436e-aee8-7d2172586fb8,Laos
bb712167-e948-4790-a2c7-d63592cc5f9a,Sri Lanka
5ece054f-bc19-45a6-8f93-66184203ee70,Rwanda
07469991-a0e9-42f0-af2f-b2d8821cf0fe,Central African Republic
b48b4a19-a466-4924-9047-ca8480673d75,Latvia
eb490894-a481-48ba-a688-965f120f280c,Norway
44614e57-435c-4d9f-85ff-183da24aaa23,Moldova
9369634f-2231-4f4d-bf9b-0156e4d13d51,Greece
d2d27f9e-eff3-4f81-9f49-614f0f0b6695,Burundi
185a768e-9b3b-4183-b8c2-e8037b581dde,Finland
a75f3b29-c074-408c-b7c6-1bcded18c705,Macedonia
b85e0bfc-7e62-44be-baf1-a5b9c2c8a35b,Kuwait
6b32eb0f-a58f-433b-b114-5b1d85dceb80,Jamaica
f107613d-5744-4230-810d-0250d1b5ad73,Lithuania
28f0aa6f-9651-4c80-a84f-c1c16d0b35f1,El Salvador
98cef10d-a406-4af4-84db-c4449c73d672,Djibouti
eed29c7f-47f1-4666-a463-2fac267393fd,Portugal
d1b16dd9-1e4f-43c7-b040-f3b7a776604d,Estonia
e7937d9b-521a-4c1d-843f-f6acded96e80,Slovakia
ee684132-7bfe-4ba1-9ec4-89beecc66ac2,Albania
d20853f0-750a-4fc6-96f3-e872c8f86e70,Lebanon
09d74a7d-e217-4fc2-85e1-bcf3461c198e,Guinea-Bissau
c6659922-852b-423c-9bc4-84c21b9af403,South Sudan
68e9e144-3ad0-4901-aed1-76cba61be205,Papua New Guinea
7c9db7d3-3885-4729-907d-cb3986dc376c,Lesotho
977de171-cb78-4cc3-ab9d-38e75ef83816,Cyprus
18ff6825-6c43-43c4-9704-66f0dc7de961,Namibia
936f6fc0-e700-4921-9380-87fed0e5f896,Costa Rica
2d7e66cc-53ea-471d-9922-e910b2c8d7be,Slovenia
680294c9-89fe-4035-b580-78f1e8359734,Bosnia And Herzegovina
d11d4245-84b2-4d37-b283-6b6a5d167275,"Bahamas, The"
656e443f-9b92-4653-b6a5-ed2100b88e5b,Botswana
ab166dff-9470-4796-a5b4-d8adfea90171,Suriname
ef0a524b-0b22-4012-bdeb-86f81111e845,Timor-Leste
830d4ac9-9978-406e-b659-35fde325b7a3,Kosovo
42685fba-112b-4ae5-9e27-0cfc115016c9,Guyana
7410e0ea-8284-4771-b43e-f6e037ab4c22,Equatorial Guinea
1487ba67-f475-4300-b789-6796aeb6706c,Belgium
c2140f64-a7be-45d5-8b6f-12f2cbb16906,Maldives
baf61879-49f2-4eec-8d81-9823f5d2074b,Montenegro
191c84f3-769a-4d0a-9ef4-56ae22a94f7e,Bahrain
a01d1565-68b3-43f7-b94a-2dca4f37c5e1,Mauritius
9917ed07-17ff-4d8b-9f9a-c194515335f6,Switzerland
c0586ec0-ae64-46f8-b55a-04cb807d4a26,Iceland
1fcee19d-7355-404a-80ba-dfa08a225f53,Cabo Verde
ca10fd66-2613-414a-a454-b28d66587a15,Luxembourg
e66523f8-b364-4f22-b274-807e97ae256a,Barbados
212f422b-5b00-481c-8d79-3163689ff447,Comoros
6b495eeb-2536-4bf9-ab3a-f354aec82842,Bhutan
a8ef9d50-f8e0-4e5b-8389-4edfde724662,Swaziland
8af592fb-b830-46cd-955d-41956183ab7c,Solomon Islands
e4a08af8-e147-4d3c-b1fe-918f6b832c1f,Fiji
d989765c-84b2-47e9-9a92-833c2769e935,Saint Lucia
69044adb-8580-4f1e-b3e0-dbd9fa224338,Sao Tome And Principe
b92bd6bf-c2b5-4dcb-a4e0-55bc97b1fb0a,Vanuatu
47adcab8-6914-484c-99bb-f07956ccbc37,Brunei
fd048327-3690-402b-b77c-0e652d6a4dec,Monaco
6a48f783-0cad-41fd-8651-68117b01457a,Trinidad And Tobago
e9a36cf0-f777-46dc-8c10-5c0ef7ac50e3,Samoa
7b4a733c-9efc-4822-b8aa-cc6a01dad9fd,Liechtenstein
17ad434d-3f24-406d-8ba5-c8f386cbe378,"Gambia, The"
f069bd26-f6b0-421a-a4d5-d7a07fdba033,Kiribati
076ddc5f-5d03-4e47-8172-2838fe4108c0,Seychelles
d46ca855-0359-44c7-98e6-42b2666165ac,Marshall Islands
feaff699-ad99-44c7-be0d-9c9ebde77096,Saint Vincent And The Grenadines
a2f1d6b3-1cd6-46bc-ac6e-20144ad89952,Tonga
9b920f3f-08d5-4138-aa0b-d977fb4e3641,Antigua And Barbuda
b42f5373-6558-4f38-87e2-5887cb2a51ea,Andorra
e434dd0f-bd35-4a0f-8803-0cb5ed3762c1,Belize
c6b9f663-dbce-49eb-b5c2-e925724f6596,Dominica
b370f59e-a334-4385-b4bc-16995bc35a89,Saint Kitts And Nevis
2cc5973c-75bf-4d32-a69d-5a20a784852d,American Samoa
96823e8d-e34a-46c5-bc26-5bf0d2706518,Malta
ffe3d35b-3da0-4c02-817b-46da47323bc4,"Micronesia, Federated States Of"
2d585603-c970-4d95-94ab-a6d294cae0d7,Tuvalu
704f1e5e-39d2-44bd-b556-a68cbc6f0a9e,Grenada
96403ccb-5c70-49e3-8b16-0f69844ce664,San Marino
2b7c1a3e-c42f-426d-8796-d81fd451660b,West Bank
465cbcc2-e10b-498d-916f-be0e803eed45,Northern Mariana Islands
b2801d01-e121-43b5-8605-a6baa9e3cc3c,Guam
47734465-787a-4f86-80ec-5934a54b781e,Palau
c5a58fc7-18e4-40a9-aa9c-13eaae3da3b2,Macau
bc7ad766-f1d2-4fde-a730-a706bc6b0d8d,Puerto Rico
de5b4d50-b31d-486c-924e-1098fa4761bd,Martinique
74300e1b-11e2-4690-a6cd-be26d82af97b,Gibraltar
fd605675-e390-4e85-82dd-0867d5540d61,Reunion
eee31cc2-0052-41a8-b6b0-fc119d918513,Guadeloupe
c233e96f-9f8d-4388-a8e5-fa4d44923987,Curaçao
dcf8208e-7749-4ab6-9d6e-0732a2d164cd,French Polynesia
cd7e748c-cbd8-4c1a-85fc-b2b279476465,New Caledonia
2ea72de2-4bcf-445a-b493-8060b527d105,French Guiana
80cbfa26-1d88-4210-ad23-f4926189ec63,Aruba
8ce1273f-787d-4f4d-b180-3275d7a2fcbc,Jersey
9e5df901-accc-43a4-a84e-a4183ad74082,Mayotte
2e839878-ee28-4dd9-b78a-4ca7427f0d22,Greenland
ba9491ef-5185-460f-87e0-86e0eb856210,Faroe Islands
f08edb99-c720-4fe4-a602-e515272fe28c,Wallis And Futuna
bcd9a246-aea0-4063-8f15-4adbb69f42a9,"Saint Helena, Ascension, And Tristan Da Cunha"
bb9a50b2-b54b-46c4-973f-c8fc72c0aa0a,Bermuda
fbb703f1-759d-4289-8b36-797b74bf36ad,Cayman Islands
6c9a68c3-c453-422d-aac4-17d4346c866d,Isle Of Man
e9ea8eb2-d066-45a3-b01b-16df1f830e6d,Turks And Caicos Islands
e1f8aff9-6611-42d1-a581-ee0e159d960b,Cook Islands
d22ab33c-3e01-4e2b-92eb-2a51f6803585,Vatican City
7ffcd3a3-1d88-43f7-8ac9-3e60891ee271,Falkland Islands (Islas Malvinas)
99c291ec-d4e3-4e70-a4a8-4d3a332c5d9c,South Georgia And South Sandwich Islands
